FullName,Email,Phone,TransactionType,Amount,TransactionDate,AccountType,Balance,OpeningDate,LoanAmount,LoanType,StartDate,EndDate,InterestRate
Crystal George,james32@example.com,(934)652-9829,withdrawal,239.09,23/04/2023,Checking,4814.99,02/11/2023,13967.51,Mortgage,29/04/2023,59:17.9,6.27
Christopher Harvey,bryantsean@example.com,430-515-7566,deposit,269.26,12/11/2023,Credit,4250.13,19/09/2020,15237,Mortgage,24/04/2022,59:17.9,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,deposit,269.26,12/11/2023,Credit,4250.13,19/09/2020,29065.5,Personal,03/04/2021,59:17.9,2.95
Sarah Green,lnelson@example.net,(390)584-3409x128,withdrawal,460.21,04/09/2020,Checking,4653.15,19/08/2022,45034.48,Mortgage,04/10/2019,59:17.9,2.58
Crystal George,james32@example.com,(934)652-9829,withdrawal,172.12,19/02/2023,Checking,8090.41,08/03/2021,19426.95,Auto,18/06/2021,59:17.9,7.29
Crystal George,james32@example.com,(934)652-9829,withdrawal,172.12,19/02/2023,Checking,8090.41,08/03/2021,13967.51,Mortgage,29/04/2023,59:17.9,6.27
Chad Jensen,ambertaylor@example.org,6576129629,withdrawal,243.54,11/10/2023,Credit,6177.48,16/12/2023,,,,,
Jose Davis,adam18@example.com,001-372-794-0132x70818,deposit,454.61,20/03/2022,Checking,9908.2,19/07/2022,,,,,
Carly Mitchell,zachary24@example.org,(728)923-5061,deposit,161.07,21/01/2023,Checking,6878.1,18/12/2019,8056.59,Mortgage,16/11/2019,59:17.9,7.33
Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,deposit,365,24/06/2023,Checking,2448.6,04/11/2022,14463.85,Auto,25/09/2019,59:17.9,6.45
Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,deposit,365,24/06/2023,Checking,2448.6,04/11/2022,19565.92,Mortgage,28/11/2022,59:17.9,3.28
Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,deposit,365,24/06/2023,Checking,2448.6,04/11/2022,8170,Personal,13/10/2019,59:17.9,3.53
Charles Wise,campossarah@example.net,532.804.9131x538,withdrawal,88.95,15/11/2022,Credit,2586.78,06/03/2023,20109.87,Auto,30/06/2021,59:17.9,4.66
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,deposit,411.8,13/02/2022,Savings,1443.64,30/05/2020,49675.33,Auto,13/12/2021,59:17.9,3.89
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,deposit,411.8,13/02/2022,Savings,1443.64,30/05/2020,31033.48,Personal,11/11/2023,59:17.9,5.66
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,deposit,411.8,13/02/2022,Savings,1443.64,30/05/2020,49754.29,Mortgage,14/11/2019,59:17.9,4.83
Sabrina Juarez,patrick92@example.com,715-732-5572x27771,deposit,170.94,30/01/2020,Savings,9139.78,03/01/2023,26360.24,Auto,26/08/2020,59:17.9,2.89
Carol Miller,yfisher@example.org,6088279027,deposit,69.89,15/04/2020,Savings,2470.66,06/10/2020,,,,,
Carol Miller,yfisher@example.org,6088279027,deposit,26.87,06/01/2024,Savings,5652.16,12/08/2019,,,,,
Desiree Nelson,johnsonhaley@example.com,231.515.3313,deposit,299.31,30/12/2020,Checking,6389.31,28/04/2021,37664.6,Mortgage,21/12/2022,59:17.9,4.45
Robert Brown,andersonmason@example.net,+1-653-515-2636x153,deposit,146.5,08/08/2019,Checking,2099.71,11/11/2021,,,,,
Vincent Patel,delacruzrobert@example.com,-3058,withdrawal,162,07/03/2021,Credit,1432.24,20/02/2023,36095.18,Personal,18/01/2020,59:17.9,4.43
Vincent Patel,delacruzrobert@example.com,-3058,withdrawal,162,07/03/2021,Credit,1432.24,20/02/2023,13231.5,Auto,11/02/2021,59:17.9,5.89
Vincent Patel,delacruzrobert@example.com,-3058,withdrawal,162,07/03/2021,Credit,1432.24,20/02/2023,34771.89,Mortgage,07/09/2020,59:17.9,6.08
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,151.28,22/12/2023,Savings,8330.83,23/01/2024,26282.21,Auto,09/01/2020,59:17.9,3.51
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,151.28,22/12/2023,Savings,8330.83,23/01/2024,40432.8,Mortgage,18/10/2023,59:17.9,4.29
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,151.28,22/12/2023,Savings,8330.83,23/01/2024,49124.49,Auto,05/11/2022,59:17.9,5.58
Kimberly Fox,zcain@example.org,(970)563-6992x24062,withdrawal,300.94,18/05/2022,Credit,5498.05,21/03/2023,25100.13,Mortgage,10/05/2021,59:17.9,7.29
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,380.93,10/05/2022,Credit,4250.13,19/09/2020,15237,Mortgage,24/04/2022,59:17.9,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,380.93,10/05/2022,Credit,4250.13,19/09/2020,29065.5,Personal,03/04/2021,59:17.9,2.95
Kim Stone,garrett28@example.org,001-668-236-9938,withdrawal,413.78,27/04/2020,Savings,6995.71,05/04/2019,,,,,
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,23.87,18/05/2020,Checking,7800.33,17/09/2023,49675.33,Auto,13/12/2021,59:17.9,3.89
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,23.87,18/05/2020,Checking,7800.33,17/09/2023,31033.48,Personal,11/11/2023,59:17.9,5.66
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,23.87,18/05/2020,Checking,7800.33,17/09/2023,49754.29,Mortgage,14/11/2019,59:17.9,4.83
Danny Brown,michellearnold@example.org,824-606-7014x9045,withdrawal,241.7,12/10/2021,Savings,9418.14,26/01/2021,12965.19,Mortgage,17/07/2022,59:17.9,7.43
Stacy Oliver,matthew64@example.net,+1-520-295-6567x57281,withdrawal,25.71,09/04/2022,Credit,5981.73,08/06/2020,,,,,
Peter Callahan,miranda13@example.org,-5276,withdrawal,307.91,16/05/2023,Savings,5436.03,30/04/2019,32850.56,Personal,24/11/2021,59:17.9,2.81
Martha Smith,darlenegoodwin@example.net,+1-665-427-6242x5731,deposit,392.1,18/12/2022,Credit,8439.15,05/11/2020,,,,,
Crystal George,james32@example.com,(934)652-9829,deposit,377.49,20/09/2019,Checking,4814.99,02/11/2023,19426.95,Auto,18/06/2021,59:17.9,7.29
Crystal George,james32@example.com,(934)652-9829,deposit,377.49,20/09/2019,Checking,4814.99,02/11/2023,13967.51,Mortgage,29/04/2023,59:17.9,6.27
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,346.83,03/07/2023,Checking,2161.94,06/11/2021,25666.75,Auto,09/05/2023,59:17.9,6.84
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,346.83,03/07/2023,Checking,2161.94,06/11/2021,23853.85,Personal,30/01/2024,59:17.9,7.41
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,346.83,03/07/2023,Checking,2161.94,06/11/2021,8092.2,Personal,18/08/2021,59:17.9,2.85
Kayla Blair,hmcmillan@example.com,(500)245-2355,deposit,111.3,16/08/2023,Savings,3485.52,10/02/2022,,,,,
Robert Brown,andersonmason@example.net,+1-653-515-2636x153,withdrawal,72.82,07/02/2024,Checking,2099.71,11/11/2021,,,,,
Crystal George,james32@example.com,(934)652-9829,withdrawal,383.12,26/09/2020,Checking,8090.41,08/03/2021,19426.95,Auto,18/06/2021,59:17.9,7.29
Crystal George,james32@example.com,(934)652-9829,withdrawal,383.12,26/09/2020,Checking,8090.41,08/03/2021,13967.51,Mortgage,29/04/2023,59:17.9,6.27
Scott Collins,veronica19@example.org,001-449-712-6361x791,deposit,345.01,10/07/2023,Savings,5071.66,31/07/2021,47203.82,Auto,15/06/2021,59:17.9,5.28
Desiree Nelson,johnsonhaley@example.com,231.515.3313,withdrawal,423.27,19/01/2021,Checking,6389.31,28/04/2021,37664.6,Mortgage,21/12/2022,59:17.9,4.45
Carol Miller,yfisher@example.org,6088279027,deposit,438.4,20/06/2023,Savings,2470.66,06/10/2020,,,,,
Cindy Armstrong,penningtonjohn@example.com,+1-690-266-8798x994,withdrawal,480.48,15/06/2021,Savings,824.41,21/09/2019,30356.38,Auto,01/06/2020,59:17.9,5.99
Brian Dillon,swilson@example.net,001-699-957-2129x33878,deposit,34.64,08/03/2020,Checking,176.64,22/04/2019,38994.49,Auto,24/12/2020,59:17.9,5.55
Anthony Ray,desiree14@example.org,714-779-4050,withdrawal,130.01,01/06/2023,Checking,9940.6,16/05/2019,19635.04,Personal,02/08/2021,59:17.9,4.89
Anthony Ray,desiree14@example.org,714-779-4050,withdrawal,130.01,01/06/2023,Checking,9940.6,16/05/2019,42324.23,Mortgage,04/04/2023,59:17.9,5.25
Jeremy Jacobs,fmartinez@example.org,001-331-228-0826x478,withdrawal,243.07,12/07/2023,Credit,9868.28,25/07/2019,42684.76,Personal,15/01/2024,59:17.9,1.96
Peter Callahan,miranda13@example.org,-5276,deposit,61.85,13/02/2021,Savings,5436.03,30/04/2019,32850.56,Personal,24/11/2021,59:17.9,2.81
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,185.4,28/07/2021,Credit,4750.66,09/09/2022,15237,Mortgage,24/04/2022,59:17.9,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,185.4,28/07/2021,Credit,4750.66,09/09/2022,29065.5,Personal,03/04/2021,59:17.9,2.95
Brian Dillon,swilson@example.net,001-699-957-2129x33878,deposit,201.65,26/03/2021,Checking,176.64,22/04/2019,38994.49,Auto,24/12/2020,59:17.9,5.55
Tommy Brooks,burtonjames@example.com,(534)691-4906,withdrawal,420.1,13/08/2021,Savings,5901.01,01/11/2021,35994.71,Mortgage,03/09/2023,59:17.9,3.52
Anita Park,xpayne@example.net,806-211-4478x986,withdrawal,155.91,07/08/2023,Checking,7676.38,26/05/2021,,,,,
Phillip Carr,nicole30@example.com,650-254-3916,deposit,100.03,09/06/2023,Checking,1958.76,20/09/2023,43727.85,Personal,25/07/2022,59:17.9,6.46
Phillip Carr,nicole30@example.com,650-254-3916,deposit,100.03,09/06/2023,Checking,1958.76,20/09/2023,19769.58,Personal,14/08/2020,59:17.9,6.15
Phillip Carr,nicole30@example.com,650-254-3916,deposit,100.03,09/06/2023,Checking,1958.76,20/09/2023,11336.16,Personal,12/05/2019,59:17.9,4.76
Evelyn Ward,paul13@example.org,(347)767-4187,deposit,255.21,14/08/2019,Checking,5674.38,13/08/2020,33958.37,Auto,19/12/2022,59:17.9,5.2
Evelyn Ward,paul13@example.org,(347)767-4187,deposit,255.21,14/08/2019,Checking,5674.38,13/08/2020,12021.11,Personal,22/03/2019,59:17.9,1.62
Evelyn Ward,paul13@example.org,(347)767-4187,deposit,255.21,14/08/2019,Checking,5674.38,13/08/2020,24333.16,Mortgage,17/10/2023,59:17.9,1.79
Phillip Carr,nicole30@example.com,650-254-3916,withdrawal,151.77,31/08/2021,Credit,369.92,05/08/2022,43727.85,Personal,25/07/2022,59:17.9,6.46
Phillip Carr,nicole30@example.com,650-254-3916,withdrawal,151.77,31/08/2021,Credit,369.92,05/08/2022,19769.58,Personal,14/08/2020,59:17.9,6.15
Phillip Carr,nicole30@example.com,650-254-3916,withdrawal,151.77,31/08/2021,Credit,369.92,05/08/2022,11336.16,Personal,12/05/2019,59:17.9,4.76
Tommy Brooks,burtonjames@example.com,(534)691-4906,deposit,419.84,07/03/2023,Savings,5901.01,01/11/2021,35994.71,Mortgage,03/09/2023,59:17.9,3.52
Danny Brown,michellearnold@example.org,824-606-7014x9045,deposit,185.11,30/10/2020,Checking,5816.22,20/09/2023,12965.19,Mortgage,17/07/2022,59:17.9,7.43
Cindy Armstrong,penningtonjohn@example.com,+1-690-266-8798x994,withdrawal,194.92,30/10/2023,Savings,824.41,21/09/2019,30356.38,Auto,01/06/2020,59:17.9,5.99
Christopher Harvey,bryantsean@example.com,430-515-7566,deposit,63.04,11/12/2022,Savings,4650.84,12/01/2022,15237,Mortgage,24/04/2022,59:17.9,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,deposit,63.04,11/12/2022,Savings,4650.84,12/01/2022,29065.5,Personal,03/04/2021,59:17.9,2.95
Daniel Ballard,laura73@example.com,(890)775-8199,withdrawal,229.83,26/12/2022,Savings,6248.9,07/04/2023,38402.89,Mortgage,25/05/2020,59:17.9,4.64
Daniel Ballard,laura73@example.com,(890)775-8199,withdrawal,229.83,26/12/2022,Savings,6248.9,07/04/2023,20567.09,Personal,29/11/2019,59:17.9,4.29
Daniel Ballard,laura73@example.com,(890)775-8199,withdrawal,229.83,26/12/2022,Savings,6248.9,07/04/2023,32936.11,Mortgage,25/12/2020,59:17.9,6.22
Jeremy Jacobs,fmartinez@example.org,001-331-228-0826x478,withdrawal,437.18,05/08/2021,Checking,5272.84,23/03/2022,42684.76,Personal,15/01/2024,59:17.9,1.96
Daniel Ballard,laura73@example.com,(890)775-8199,withdrawal,388.07,24/04/2023,Savings,6248.9,07/04/2023,38402.89,Mortgage,25/05/2020,59:17.9,4.64
Daniel Ballard,laura73@example.com,(890)775-8199,withdrawal,388.07,24/04/2023,Savings,6248.9,07/04/2023,20567.09,Personal,29/11/2019,59:17.9,4.29
Daniel Ballard,laura73@example.com,(890)775-8199,withdrawal,388.07,24/04/2023,Savings,6248.9,07/04/2023,32936.11,Mortgage,25/12/2020,59:17.9,6.22
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,344.37,15/04/2019,Credit,4250.13,19/09/2020,15237,Mortgage,24/04/2022,59:17.9,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,344.37,15/04/2019,Credit,4250.13,19/09/2020,29065.5,Personal,03/04/2021,59:17.9,2.95
Brian Scott,marquezgeorge@example.org,001-925-602-1058x78333,withdrawal,316.43,22/10/2021,Checking,8778.2,25/02/2019,,,,,
Brian Dillon,swilson@example.net,001-699-957-2129x33878,deposit,26.02,22/02/2019,Checking,6267.88,01/01/2020,38994.49,Auto,24/12/2020,59:17.9,5.55
Francisco Potter,joneschristine@example.org,(564)921-3755x708,withdrawal,436.38,05/02/2023,Credit,6992.14,08/03/2022,35115.06,Auto,01/09/2023,59:17.9,5.87
Crystal George,james32@example.com,(934)652-9829,deposit,77.08,21/10/2019,Checking,9829.08,29/05/2022,19426.95,Auto,18/06/2021,59:17.9,7.29
Crystal George,james32@example.com,(934)652-9829,deposit,77.08,21/10/2019,Checking,9829.08,29/05/2022,13967.51,Mortgage,29/04/2023,59:17.9,6.27
Jason Martin,isabella87@example.com,+1-990-327-2307x7625,deposit,463.22,30/12/2021,Savings,4200.08,02/06/2023,8419.93,Personal,29/10/2021,59:17.9,4.1
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,422.89,27/07/2020,Credit,4250.13,19/09/2020,15237,Mortgage,24/04/2022,59:17.9,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,422.89,27/07/2020,Credit,4250.13,19/09/2020,29065.5,Personal,03/04/2021,59:17.9,2.95
Richard Pearson,anthonyholloway@example.net,458.559.1555x601,withdrawal,257.3,21/07/2019,Credit,2920.52,09/12/2023,,,,,
Kayla Blair,hmcmillan@example.com,(500)245-2355,deposit,161.43,21/02/2023,Checking,9925.68,04/05/2020,,,,,
Daniel Edwards,byoung@example.org,-8700,withdrawal,275.86,03/08/2023,Savings,8124.79,17/02/2021,34427.31,Mortgage,26/07/2022,59:17.9,4.02
Daniel Edwards,byoung@example.org,-8700,withdrawal,275.86,03/08/2023,Savings,8124.79,17/02/2021,17430.29,Auto,16/10/2023,59:17.9,2.8
Daniel Edwards,byoung@example.org,-8700,withdrawal,275.86,03/08/2023,Savings,8124.79,17/02/2021,14964.93,Auto,22/12/2020,59:17.9,5.33
Robert Brown,andersonmason@example.net,+1-653-515-2636x153,deposit,296.78,18/05/2022,Checking,2099.71,11/11/2021,,,,,
Jason Bennett,joseph97@example.net,(632)674-7662x30858,withdrawal,468.39,01/07/2019,Savings,8380.64,24/11/2021,42355.47,Mortgage,23/02/2019,59:17.9,7.05
Jason Bennett,joseph97@example.net,(632)674-7662x30858,withdrawal,468.39,01/07/2019,Savings,8380.64,24/11/2021,35193.83,Mortgage,17/01/2021,59:17.9,1.85
Shelby Smith,carolyn11@example.com,580.272.0301x65432,withdrawal,146.72,27/12/2021,Credit,8471.16,05/09/2021,,,,,
Crystal George,james32@example.com,(934)652-9829,withdrawal,93.05,17/01/2021,Checking,4814.99,02/11/2023,19426.95,Auto,18/06/2021,59:17.9,7.29
Crystal George,james32@example.com,(934)652-9829,withdrawal,93.05,17/01/2021,Checking,4814.99,02/11/2023,13967.51,Mortgage,29/04/2023,59:17.9,6.27
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,deposit,418.26,04/03/2019,Checking,7800.33,17/09/2023,49675.33,Auto,13/12/2021,59:17.9,3.89
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,deposit,418.26,04/03/2019,Checking,7800.33,17/09/2023,31033.48,Personal,11/11/2023,59:17.9,5.66
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,deposit,418.26,04/03/2019,Checking,7800.33,17/09/2023,49754.29,Mortgage,14/11/2019,59:17.9,4.83
Crystal George,james32@example.com,(934)652-9829,deposit,425.53,07/05/2022,Savings,8865.78,08/03/2019,19426.95,Auto,18/06/2021,59:17.9,7.29
Crystal George,james32@example.com,(934)652-9829,deposit,425.53,07/05/2022,Savings,8865.78,08/03/2019,13967.51,Mortgage,29/04/2023,59:17.9,6.27
Jamie Stone,derekhart@example.org,473.393.2625x19595,withdrawal,202.62,07/01/2024,Savings,618.8,07/06/2022,27719.17,Mortgage,12/02/2022,59:17.9,1.54
Robert Mendez,evelynpatterson@example.org,759.294.8819,deposit,239.03,23/12/2021,Credit,1591.26,22/08/2019,,,,,
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,316,21/06/2020,Credit,444.6,01/11/2021,32428.9,Mortgage,24/06/2021,59:17.9,2.12
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,316,21/06/2020,Credit,444.6,01/11/2021,31406.77,Personal,27/02/2021,59:17.9,4.63
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,316,21/06/2020,Credit,444.6,01/11/2021,27834,Personal,05/12/2019,59:17.9,2.15
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,316,21/06/2020,Credit,444.6,01/11/2021,27873.08,Auto,19/01/2022,59:17.9,7.03
Monica Graves,xday@example.net,402.918.5084x3030,deposit,397.33,15/01/2020,Savings,8648.97,05/06/2022,48233.91,Personal,03/12/2023,59:17.9,4.7
Monica Graves,xday@example.net,402.918.5084x3030,deposit,397.33,15/01/2020,Savings,8648.97,05/06/2022,5710.02,Mortgage,28/11/2023,59:17.9,5.45
Jamie Stone,derekhart@example.org,473.393.2625x19595,withdrawal,177.82,17/08/2020,Savings,7533.24,16/04/2019,27719.17,Mortgage,12/02/2022,59:17.9,1.54
Vanessa James,colleendavis@example.org,891-740-2938,withdrawal,288.33,26/08/2022,Savings,479.11,26/04/2020,,,,,
Vanessa James,colleendavis@example.org,891-740-2938,withdrawal,474.14,26/06/2020,Savings,479.11,26/04/2020,,,,,
Kim Stone,garrett28@example.org,001-668-236-9938,withdrawal,123.46,10/07/2021,Credit,6510.08,31/03/2022,,,,,
Jason Carroll,katherinewebb@example.org,001-314-231-6194x278,deposit,321.25,06/02/2021,Savings,3181.09,11/06/2022,48863.64,Mortgage,26/11/2021,59:17.9,2.42
Jason Carroll,katherinewebb@example.org,001-314-231-6194x278,deposit,321.25,06/02/2021,Savings,3181.09,11/06/2022,48494.41,Auto,16/02/2019,59:17.9,3.62
Cody Jenkins,christinafrost@example.org,600-670-5758x719,deposit,111.82,18/07/2019,Savings,723.3,31/12/2020,33579.17,Personal,10/07/2022,59:17.9,4.84
Cody Jenkins,christinafrost@example.org,600-670-5758x719,deposit,111.82,18/07/2019,Savings,723.3,31/12/2020,20706.59,Mortgage,23/02/2021,59:17.9,5.64
Jason Martin,isabella87@example.com,+1-990-327-2307x7625,deposit,396.48,29/01/2020,Checking,4797.54,28/03/2022,8419.93,Personal,29/10/2021,59:17.9,4.1
Lauren Gray,kenneth99@example.net,218.715.2894x614,withdrawal,184.27,07/12/2020,Checking,4765.84,19/02/2022,48933.91,Auto,06/08/2020,59:17.9,4.43
Lauren Gray,kenneth99@example.net,218.715.2894x614,withdrawal,184.27,07/12/2020,Checking,4765.84,19/02/2022,47062.38,Mortgage,22/10/2019,59:17.9,6.27
Christopher Hale,watsondarren@example.org,+1-917-489-0869x753,withdrawal,109.91,14/01/2020,Checking,5108.1,15/06/2023,28988.77,Personal,23/03/2020,59:17.9,3.06
Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,withdrawal,356.6,19/07/2022,Credit,7880.53,14/08/2023,11074.47,Personal,11/02/2022,59:17.9,5.36
Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,withdrawal,356.6,19/07/2022,Credit,7880.53,14/08/2023,38903.23,Personal,14/07/2021,59:17.9,2.28
Richard Adams,wurobert@example.com,381.345.0592x7366,withdrawal,325.67,27/10/2019,Checking,5238.53,11/06/2020,19985.5,Mortgage,24/06/2019,59:17.9,5.01
Desiree Nelson,johnsonhaley@example.com,231.515.3313,withdrawal,128.3,31/05/2020,Savings,4492.62,31/08/2020,37664.6,Mortgage,21/12/2022,59:17.9,4.45
Scott Collins,veronica19@example.org,001-449-712-6361x791,withdrawal,320.2,08/10/2022,Checking,408.18,29/11/2020,47203.82,Auto,15/06/2021,59:17.9,5.28
Christopher Harvey,bryantsean@example.com,430-515-7566,deposit,275.7,16/07/2023,Savings,4650.84,12/01/2022,15237,Mortgage,24/04/2022,59:17.9,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,deposit,275.7,16/07/2023,Savings,4650.84,12/01/2022,29065.5,Personal,03/04/2021,59:17.9,2.95
Jason Martin,isabella87@example.com,+1-990-327-2307x7625,withdrawal,174.1,26/06/2023,Savings,4200.08,02/06/2023,8419.93,Personal,29/10/2021,59:17.9,4.1
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,275.85,10/09/2019,Checking,2161.94,06/11/2021,25666.75,Auto,09/05/2023,59:17.9,6.84
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,275.85,10/09/2019,Checking,2161.94,06/11/2021,23853.85,Personal,30/01/2024,59:17.9,7.41
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,275.85,10/09/2019,Checking,2161.94,06/11/2021,8092.2,Personal,18/08/2021,59:17.9,2.85
Phillip Carr,nicole30@example.com,650-254-3916,withdrawal,118.27,05/10/2019,Checking,7987.97,30/08/2020,43727.85,Personal,25/07/2022,59:17.9,6.46
Phillip Carr,nicole30@example.com,650-254-3916,withdrawal,118.27,05/10/2019,Checking,7987.97,30/08/2020,19769.58,Personal,14/08/2020,59:17.9,6.15
Phillip Carr,nicole30@example.com,650-254-3916,withdrawal,118.27,05/10/2019,Checking,7987.97,30/08/2020,11336.16,Personal,12/05/2019,59:17.9,4.76
Jamie Stone,derekhart@example.org,473.393.2625x19595,withdrawal,487.49,15/07/2023,Savings,618.8,07/06/2022,27719.17,Mortgage,12/02/2022,59:17.9,1.54
Wesley Martinez,crystalnixon@example.net,001-686-732-8251x7846,deposit,406.15,04/10/2022,Credit,5566.77,27/02/2022,7941.64,Mortgage,12/12/2023,59:17.9,2.2
Wesley Martinez,crystalnixon@example.net,001-686-732-8251x7846,deposit,406.15,04/10/2022,Credit,5566.77,27/02/2022,47272.64,Personal,06/04/2021,59:17.9,5.35
Kim Stone,garrett28@example.org,001-668-236-9938,deposit,28,26/05/2019,Credit,6510.08,31/03/2022,,,,,
Cody Jenkins,christinafrost@example.org,600-670-5758x719,deposit,175.63,07/07/2019,Credit,7658.87,30/11/2021,33579.17,Personal,10/07/2022,59:17.9,4.84
Cody Jenkins,christinafrost@example.org,600-670-5758x719,deposit,175.63,07/07/2019,Credit,7658.87,30/11/2021,20706.59,Mortgage,23/02/2021,59:17.9,5.64
Robert Mendez,evelynpatterson@example.org,759.294.8819,deposit,461.82,30/08/2020,Savings,1388.48,15/05/2020,,,,,
Daniel Edwards,byoung@example.org,-8700,withdrawal,345.59,17/07/2020,Credit,7481.3,06/01/2021,34427.31,Mortgage,26/07/2022,59:17.9,4.02
Daniel Edwards,byoung@example.org,-8700,withdrawal,345.59,17/07/2020,Credit,7481.3,06/01/2021,17430.29,Auto,16/10/2023,59:17.9,2.8
Daniel Edwards,byoung@example.org,-8700,withdrawal,345.59,17/07/2020,Credit,7481.3,06/01/2021,14964.93,Auto,22/12/2020,59:17.9,5.33
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,193.47,29/12/2021,Savings,2391.9,17/09/2020,25666.75,Auto,09/05/2023,59:17.9,6.84
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,193.47,29/12/2021,Savings,2391.9,17/09/2020,23853.85,Personal,30/01/2024,59:17.9,7.41
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,193.47,29/12/2021,Savings,2391.9,17/09/2020,8092.2,Personal,18/08/2021,59:17.9,2.85
Wesley Martinez,crystalnixon@example.net,001-686-732-8251x7846,withdrawal,229.41,06/02/2021,Credit,5566.77,27/02/2022,7941.64,Mortgage,12/12/2023,59:17.9,2.2
Wesley Martinez,crystalnixon@example.net,001-686-732-8251x7846,withdrawal,229.41,06/02/2021,Credit,5566.77,27/02/2022,47272.64,Personal,06/04/2021,59:17.9,5.35
Robert Mendez,evelynpatterson@example.org,759.294.8819,withdrawal,359.82,07/02/2023,Credit,1591.26,22/08/2019,,,,,
Heather Williams,jefferylewis@example.net,+1-492-813-6179x03896,deposit,456.38,29/03/2021,Checking,5910.76,02/04/2019,35885.02,Auto,06/10/2023,59:17.9,5.32
Heather Williams,jefferylewis@example.net,+1-492-813-6179x03896,deposit,456.38,29/03/2021,Checking,5910.76,02/04/2019,39301.99,Mortgage,19/05/2019,59:17.9,7.19
Heather Williams,jefferylewis@example.net,+1-492-813-6179x03896,deposit,456.38,29/03/2021,Checking,5910.76,02/04/2019,10490.65,Auto,01/06/2023,59:17.9,2.46
Vanessa James,colleendavis@example.org,891-740-2938,deposit,295.71,13/05/2020,Credit,933.48,09/05/2019,,,,,
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,488.39,03/10/2019,Savings,9716.41,15/09/2022,15237,Mortgage,24/04/2022,59:17.9,2.48
Christopher Harvey,bryantsean@example.com,430-515-7566,withdrawal,488.39,03/10/2019,Savings,9716.41,15/09/2022,29065.5,Personal,03/04/2021,59:17.9,2.95
Cody Jenkins,christinafrost@example.org,600-670-5758x719,deposit,472.33,24/10/2019,Credit,7658.87,30/11/2021,33579.17,Personal,10/07/2022,59:17.9,4.84
Cody Jenkins,christinafrost@example.org,600-670-5758x719,deposit,472.33,24/10/2019,Credit,7658.87,30/11/2021,20706.59,Mortgage,23/02/2021,59:17.9,5.64
Danny Brown,michellearnold@example.org,824-606-7014x9045,deposit,133.73,17/06/2020,Savings,947.43,06/05/2022,12965.19,Mortgage,17/07/2022,59:17.9,7.43
Stacy Oliver,matthew64@example.net,+1-520-295-6567x57281,withdrawal,290.16,14/12/2019,Credit,5981.73,08/06/2020,,,,,
Stacy Oliver,matthew64@example.net,+1-520-295-6567x57281,deposit,287.06,28/08/2019,Checking,3099.96,05/05/2023,,,,,
Crystal Burns,jbarry@example.net,001-295-729-2302,withdrawal,297.95,08/11/2019,Savings,6933.89,15/06/2019,,,,,
